gene_id
GWHPESFK036321
GWHPEQCT038099
GWHPEQCT038100
GWHPESFK022712
GWHPEQCT023698
GWHPEQCT036774
GWHPESFK035026
GWHPEQCT039866
GWHPESFK037931
GWHPESFK002758
GWHPEQCT002915
GWHPESFK037930
GWHPEQCT041298
GWHPESFK039288
GWHPEQCT028402
GWHPESFK027192
GWHPESFK027861
GWHPESFK027860
GWHPEQCT029346
GWHPESFK000840
GWHPEQCT007285
GWHPESFK007010
GWHPESFK032164
GWHPESFK000407
GWHPESFK005775
GWHPEQCT005991
GWHPESFK031657
GWHPEQCT033219
GWHPEQCT028752
GWHPESFK027289
GWHPESFK029212
GWHPEQCT030689
GWHPESFK025980
GWHPEQCT041345
GWHPESFK025979
GWHPEQCT027090
GWHPESFK039334
GWHPESFK035399
GWHPESFK012456
GWHPESFK012117
GWHPEQCT012636
GWHPEQCT007689
GWHPESFK007400
GWHPEQCT039074
GWHPESFK037154
GWHPEQCT039075
GWHPESFK037153
GWHPEQCT001422
GWHPESFK036639
GWHPEQCT038427
GWHPEQCT038426
GWHPESFK036638
GWHPESFK016670
GWHPEQCT017360
GWHPESFK016673
GWHPESFK016671
GWHPESFK016679
GWHPESFK016675
GWHPEQCT017370
GWHPESFK016676
GWHPESFK016678
GWHPEQCT017365
GWHPEQCT017363
GWHPEQCT017366
GWHPEQCT017369
GWHPESFK016674
GWHPEQCT017362
GWHPESFK016672
GWHPEQCT017367
GWHPEQCT017364
GWHPESFK016677
GWHPEQCT032840
GWHPESFK019783
GWHPEQCT020588
GWHPESFK000787
GWHPESFK000788
GWHPEQCT000783
GWHPEQCT000784
GWHPESFK011862
GWHPESFK011863
GWHPEQCT012363
GWHPEQCT012364
GWHPEQCT000074
GWHPESFK000081
GWHPEQCT035597
GWHPEQCT035596
GWHPESFK033908
GWHPEQCT005304
GWHPESFK005120
GWHPESFK005968
GWHPEQCT006193
GWHPESFK034267
GWHPEQCT035969
GWHPEQCT028260
GWHPEQCT006459
GWHPESFK006220
GWHPESFK028786
GWHPEQCT030266
GWHPESFK014957
GWHPEQCT015547
GWHPESFK009554
GWHPEQCT009940
GWHPESFK040403
GWHPEQCT042433
GWHPEQCT008035
GWHPEQCT013864
GWHPESFK013314
GWHPESFK013315
GWHPEQCT013865
GWHPESFK026891
GWHPESFK026890
GWHPESFK039300
GWHPEQCT031657
GWHPESFK030169
GWHPEQCT041313
GWHPEQCT028251
GWHPEQCT028254
GWHPEQCT028257
GWHPESFK007736
GWHPEQCT002534
GWHPESFK002394
GWHPEQCT031504
GWHPESFK030018
GWHPEQCT029855
GWHPESFK028371
GWHPEQCT002259
GWHPEQCT002261
GWHPEQCT002262
GWHPEQCT002260
GWHPEQCT029856
GWHPESFK028372
GWHPEQCT005354
GWHPESFK005170
GWHPEQCT005043
GWHPESFK004870
GWHPESFK018446
GWHPEQCT019219
GWHPEQCT022408
GWHPESFK021556
GWHPEQCT022411
GWHPESFK021557
GWHPEQCT022409
GWHPEQCT022410
GWHPESFK021558
GWHPESFK021555
GWHPEQCT022407
GWHPESFK021559
GWHPEQCT022412
GWHPEQCT029015
GWHPEQCT029014
GWHPEQCT029016
GWHPESFK027547
GWHPESFK027546
GWHPESFK027548
GWHPEQCT039667
GWHPESFK037728
GWHPEQCT010931
GWHPEQCT037353
GWHPESFK035589
GWHPESFK016824
GWHPEQCT017504
GWHPESFK038547
GWHPEQCT040509
GWHPEQCT013800
GWHPESFK013244
GWHPESFK019664
GWHPEQCT020467
GWHPEQCT028030
GWHPEQCT028031
GWHPEQCT028029
GWHPESFK005747
GWHPEQCT005958
GWHPEQCT005959
GWHPEQCT005960
GWHPESFK005748
GWHPEQCT030059
GWHPESFK028586
GWHPESFK017576
GWHPEQCT018324
GWHPEQCT012052
GWHPESFK011561
GWHPEQCT012053
GWHPESFK011562
GWHPESFK029134
GWHPEQCT030617
GWHPESFK029135
GWHPEQCT030618
GWHPESFK021675
GWHPEQCT022536
GWHPESFK032717
GWHPEQCT034345
GWHPEQCT013528
GWHPESFK012974
GWHPEQCT013365
GWHPESFK016435
